# eventIndex trackIndex extX(cm) extY(cm) extZ(cm) extPx(MeV/c) extPy(MeV/c) extPz(MeV/c) reduced-chi2
796 0 47.564766 -19.222854 19.564537 92.963219 43.706212 22.518426 0.795464
802 0 44.330343 -26.087800 -7.164605 90.606973 48.682977 -4.903141 0.912653
803 0 44.293327 26.628152 37.327724 45.677271 91.894127 16.154006 0.871236
805 0 -29.596525 -41.965934 -14.365308 22.749778 -90.084180 -47.095291 0.842391
806 0 -51.682434 2.523600 5.082810 -75.155802 -64.629108 -34.239218 0.661395
815 0 -22.005291 -46.704479 -17.334780 36.661714 -87.673791 -44.908743 0.737679
816 0 -49.833504 -12.951653 -34.871914 -56.558337 -81.330881 -31.958632 1.018700
817 0 -31.231240 41.133850 -3.380867 -93.637384 19.030375 30.028993 1.029373
820 0 50.215551 -12.769936 4.349192 94.682328 43.581173 -12.688908 1.054581
823 0 -27.451782 -43.696995 29.354923 6.481496 -100.112021 27.057977 0.950488
826 0 16.193966 48.701363 -15.938176 -57.771433 85.422859 14.026157 0.761964
832 0 -51.334217 4.407522 -33.009941 -72.879083 -73.345266 -11.851648 1.008549
833 0 -22.223027 -46.255470 -33.570744 62.150661 -81.171714 3.392370 1.198142
837 0 -49.906303 12.812939 -28.993259 -85.451238 -58.907889 -14.116052 0.913552
845 0 49.919265 12.181794 -34.829948 43.631244 94.839878 8.363154 0.936700
847 0 47.638665 18.557327 -41.113686 18.538279 101.533130 -16.824819 1.090961
851 0 -49.481932 13.524789 20.093980 -75.055756 -68.831727 25.930068 0.932328
852 0 -40.585585 -32.144279 -39.711151 -29.087225 -100.657284 -8.753388 0.927091
853 0 31.467968 40.487053 -2.575191 -31.437777 76.624565 1.188389 1.390646
854 0 50.934743 7.883180 15.507550 59.091758 87.186232 -7.857427 0.970866
857 0 -8.299226 -50.465680 3.579154 76.258101 -65.607086 -11.244765 0.995452
858 0 -2.497938 51.552361 -22.839228 -68.770736 76.127373 -6.369646 1.030998
862 0 -15.622661 49.064949 32.353271 -91.257431 46.964679 20.976733 1.033582
863 0 47.297841 -20.447713 -44.802913 91.369048 47.419976 -18.899398 1.006375
871 0 -46.980123 -21.637740 0.793118 -45.908593 -90.040028 1.485367 0.936678
872 0 46.488491 21.964968 -23.041094 24.287129 100.006506 -17.014744 1.005593
875 0 37.370741 -34.995212 -20.247837 82.153670 23.798110 -61.435226 0.836992
880 0 -32.963996 39.519421 -2.278720 -104.092278 -5.325131 -9.789086 1.129572
885 0 21.566204 46.761760 17.842747 -24.311196 101.097435 5.445984 0.878012
886 0 44.569160 25.835823 4.955845 32.497831 93.105145 -33.868819 0.795437
889 0 35.680836 36.673820 -30.089195 -25.182838 100.566916 -14.917437 0.799986
890 0 6.760144 -50.747589 -22.489897 98.708011 -31.888217 -10.694211 1.000095
891 0 46.001686 23.205705 -2.283791 28.737927 97.318552 -22.694487 0.961948
896 0 -5.539622 -50.916324 -15.400387 72.306462 -74.629441 -8.961175 0.813145
907 0 44.353646 25.497421 25.843393 -10.189705 95.888332 9.369331 1.064614
909 0 27.777734 -43.102699 -19.896340 100.641005 9.059964 27.514759 0.787576
914 0 -29.069573 -42.317625 -17.122889 37.805233 -97.242087 -3.999697 0.906710
916 0 -41.936916 29.531670 19.071256 -82.096659 -34.612659 54.695163 0.866309
919 0 25.617131 44.689077 -6.472553 -23.770757 98.209769 -26.488591 0.840442
920 0 -6.973803 50.896906 19.422377 -88.944986 52.042462 -9.759079 1.000961
923 0 42.272122 -29.937773 42.409506 103.092134 -0.676568 18.037165 0.823683
926 0 -3.677907 51.624028 47.673878 -78.604721 67.952156 16.187863 1.004067
928 0 -17.544532 48.647385 30.868020 -88.347673 21.628203 52.055385 0.729932
929 0 -1.639868 -51.423449 24.700302 78.577928 -48.317648 50.630592 1.191442
930 0 -44.277412 -25.655109 7.960695 0.674716 -102.736868 -17.194677 0.779897
938 0 -33.326996 -39.160586 -27.034336 30.866763 -99.175930 -11.334588 0.843909
